"Category","Brand_Description","Price","Review_Count","Rating"
"Cards"," Pokemon TCG: Random Cards from Every Series, 50 Cards in Each Lot  4.3 out of 5 stars 68,734  20K+ bought in past month$4.20$4.20 Typical: $5.79$5.79 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 More Buying Choices$2.50(112 used & new offers)Ages: 7 years and up",4,"68,734","4.3 out of 5 stars"
"Cards"," POKEMON TCG: SCARLET AND VIOLET: PALDEAN FATES: ELITE TRAINER BOX  3K+ bought in past month$45.66$45.66 List: $54.99$54.99 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 More Buying Choices$45.42(22 new offers)Ages: 6 years and up",45,"3K+ bought in past month",""
"Cards"," Pokemon TCG: 3 Booster Packs  30 Cards Total| Value Pack Includes 3 Blister Packs of Random Cards | 100% Authentic Branded Pokemon Expansion Packs | Random Chance at Rares & Holofoils  4.5 out of 5 stars 19,913  7K+ bought in past month$11.99$11.99 List: $12.89$12.89 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 Ages: 14 years and up",11,"19,913","4.5 out of 5 stars"
"Cards"," Pokemon V 5 Card Lot - Legendary & Mytical - Random Selection - Mew Rayquaza Victini  4.3 out of 5 stars 329  1K+ bought in past month$6.79$6.79 Typical: $8.95$8.95FREE delivery Thu, Feb 1 Or fastest delivery Jan 30 - 31 Only 17 left in stock - order soon.More Buying Choices$6.60(22 used & new offers)Ages: 6 years and up",6,"Amazon's Choice: Overall Pick","4.3 out of 5 stars"
"Cards"," Pokémon TCG: Charizard ex Premium Collection  4.6 out of 5 stars 680  7K+ bought in past month$31.49$31.49 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 More Buying Choices$30.23(48 used & new offers)Ages: 6 years and up",31,"680","4.6 out of 5 stars"
"Cards"," 50+ Official Pokemon Cards Binder Collection Booster Box with 5 Foils in Any Combination and at Least 1 Rarity, GX, EX, FA, Tag Team, Or Secret Rare, with Cards Like Charizard and Detective Pikachu  4.4 out of 5 stars 5,241  5K+ bought in past month$5.98$5.98 Typical: $6.88$6.88 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 Only 3 left in stock - order soon.More Buying Choices$5.85(33 used & new offers)Ages: 13 years and up",5,"5,241","4.4 out of 5 stars"
"Cards"," Pokemon TCG: Crown Zenith Elite Trainer Box  4.5 out of 5 stars 2,495  6K+ bought in past month$39.99$39.99 List: $49.99$49.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 More Buying Choices$35.85(62 used & new offers)Ages: 6 years and up",39,"2,495","4.5 out of 5 stars"
"Cards"," Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Elite Trainer  4.2 out of 5 stars 1,360  10K+ bought in past month$43.99$43.99 List: $54.99$54.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 More Buying Choices$42.23(38 used & new offers)Ages: 6 years and up",43,"1,360","4.2 out of 5 stars"
"Cards"," 25 Rare Pokemon Cards with 100 HP or Higher (Assorted Lot with No Duplicates) (Original Version)  4.4 out of 5 stars 17,620  5K+ bought in past month$6.15$6.15 List: $8.94$8.94FREE delivery on $35 shipped by Amazon.Only 1 left in stock - order soon.More Buying Choices$1.50(49 used & new offers)Ages: 13 years and up",6,"17,620","4.4 out of 5 stars"
"Cards"," Pokemon 50 Assorted Cards(NO DUPLICATES)  4.4 out of 5 stars 987  300+ bought in past month$5.22$5.22 List: $8.64$8.64 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 More Buying Choices$4.75(25 new offers)Ages: 13 - 3 years",5,"987","4.4 out of 5 stars"
