"Category","Brand_Description","Price","Review_Count","Rating"
"Boots"," +1NORTIV 8 Men's Military Tactical Work Boots Side Zipper Leather Motorcycle Combat Boots (6-8 Inches)  4.4 out of 5 stars 18,307  300+ bought in past monthLimited time deal   $43.31$43.31 Typical: $56.99$56.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","43.","Amazon's Choice: Overall Pick","4.4 out of 5 stars"
"Boots"," Under Armour Men's Micro G Valsetz Zip Military and Tactical Boot  4.5 out of 5 stars 2,413  100+ bought in past month$101.98$101.98 List: $140.00$140.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","101.","2,413","4.5 out of 5 stars"
"Boots"," Skechers Men's New Wascana-Benen Military and Tactical Boot  4.3 out of 5 stars 4,802  200+ bought in past month$63.97$63.97 List: $85.00$85.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","63.","4,802","4.3 out of 5 stars"
"Boots"," Men's Stellar G2 6"" Lace Up Military and Tactical Boot  4.4 out of 5 stars 339  $99.95$99.95 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 Prime Try Before You Buy","99.","339","4.4 out of 5 stars"
"Boots"," +5FREE SOLDIER Men’s Tactical Boots 8 Inches Lightweight Combat Boots Durable Suede Leather Military Work Boots Desert Boots  4.3 out of 5 stars 6,153  50+ bought in past month$62.99$62.99 List: $89.99$89.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 Prime Try Before You BuyMore Buying Choices$58.57(2 used & new offers)","62.","6,153","4.3 out of 5 stars"
"Boots"," Bates GX-8 Gore-Tex Side Zip  4.3 out of 5 stars 3,166  100+ bought in past month$89.95$89.95 List: $189.95$189.95 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 Prime Try Before You Buy","89.","3,166","4.3 out of 5 stars"
"Boots"," NORTIV 8 Men's Military Tactical Work Boots Hiking Motorcycle Combat Boots  4.4 out of 5 stars 14,366  50+ bought in past month$59.99$59.9910% coupon applied at checkoutSave 10%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","59.","14,366","4.4 out of 5 stars"
"Boots"," +3NORTIV 8 Men's Lightweight Military Tactical Work Boots Outdoor Hiking Motorcycle Combat Boots  4.4 out of 5 stars 987  $54.99$54.99 List: $79.99$79.99Join Prime to buy this item at $46.74 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","54.","987","4.4 out of 5 stars"
"Boots"," Bates Men's Tactical Sport 2 Tall Zip Military and Tactical Boot  4.3 out of 5 stars 644  50+ bought in past month$109.95$109.95 List: $119.95$119.95 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","109.","644","4.3 out of 5 stars"
"Boots"," +1FREE SOLDIER Waterproof Hiking Work Boots Men's Tactical Boots 6 Inches Lightweight Military Boots Breathable Desert Boots  4.3 out of 5 stars 8,387  50+ bought in past month$49.99$49.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","49.","8,387","4.3 out of 5 stars"
"Boots"," Merrell Men's Moab 2 Mid Wp Military-and-Tactical-Boots  4.4 out of 5 stars 59  $96.99$96.99 List: $145.00$145.00FREE deliveryPrime Try Before You Buy","96.","59","4.4 out of 5 stars"
"Boots"," Under Armour Men's Stellar G2 Side Zip Military and Tactical Boot  4.4 out of 5 stars 577  $94.04$94.04 List: $110.00$110.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","94.","577","4.4 out of 5 stars"
"Boots"," FREE SOLDIER Men's Waterproof Hiking Boots Lightweight Work Boots Military Tactical Boots Durable Combat Boots  4.1 out of 5 stars 6,469  50+ bought in past month$61.99$61.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 Prime Try Before You Buy","61.","6,469","4.1 out of 5 stars"
"Boots"," +2 colors/patternsSFB B1 Military Lightweight Combat Boots  4.2 out of 5 stars 95  50+ bought in past month$79.98$79.98 Typical: $89.98$89.98FREE delivery Feb 1 - 5 Or fastest delivery Jan 30 - Feb 1 ","79.","95","4.2 out of 5 stars"
"Boots"," Men's Tactical Boots, Military Boots Army Boots Combat Boots With Side Zipper Black  4.1 out of 5 stars 175  $38.99$38.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","38.","175","4.1 out of 5 stars"
"Boots"," +1FREE SOLDIER Men's Waterproof Hiking Boots Military Tactical Boots for Men Outdoor Lightweight Work Boots  4.0 out of 5 stars 3,037  $59.99$59.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","59.","3,037","4.0 out of 5 stars"
"Boots"," Men's Military Tactical Work Boots Side Zipper Jungle Army Combat Boots  4.1 out of 5 stars 2,354  200+ bought in past month$54.99$54.99 List: $79.99$79.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors) FREE delivery","54.","2,354","4.1 out of 5 stars"
"Boots"," NORTIV 8 Men's Waterproof Hiking Boots Outdoor Mid Trekking Backpacking Mountaineering Shoes  4.4 out of 5 stars 13,208  Limited time deal   $41.59$41.59 List: $89.99$89.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","41.","13,208","4.4 out of 5 stars"
"Boots"," 6"" Coolmax Tactical Combat Breathable Side Zip Boots  4.6 out of 5 stars 566  $54.99$54.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","54.","566","4.6 out of 5 stars"
"Boots"," Men's Micro G Valsetz Tactical Boot Military  4.5 out of 5 stars 1,092  50+ bought in past month$86.89$86.89 List: $135.00$135.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","86.","1,092","4.5 out of 5 stars"
"Boots"," Men's Stellar G2 6"" Side Zip Lace Up Boot Military and Tactical  4.2 out of 5 stars 267  $86.13$86.13 List: $100.00$100.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","86.","267","4.2 out of 5 stars"
"Boots"," Under Armour Men's Stellar G2 Zip Waterproof Military and Tactical Boot  4.2 out of 5 stars 23  50+ bought in past month$105.69$105.69 List: $120.00$120.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","105.","23","4.2 out of 5 stars"
"Boots"," Men's Military&Tactical Boots for Men With Zipper Work Boots for Men Lightweight Motorcycle Boots Men Combat Boots Men Durable Suede Leather  4.2 out of 5 stars 30  $29.99$29.99 Typical: $39.99$39.99 FREE delivery Fri, Feb 2 on $35 of items shipped by Amazon","29.","30","4.2 out of 5 stars"
"Boots"," CoolMax 8"" Tactical Combat Military Durable Work Utility Boots, Men's Leather Assault Work Boots With Side Zipper (Tan/Coyote)  4.5 out of 5 stars 2,468  $62.99$62.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You BuySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","62.","2,468","4.5 out of 5 stars"
"Boots"," Rocky Men's Code Blue Military and Tactical Boot  4.0 out of 5 stars 23  $41.50$41.50 List: $171.00$171.00FREE delivery Feb 1 - 2 ","41.","23","4.0 out of 5 stars"
"Boots"," +1Military Tactical Work Boots for Hiking Motorcycling EMS EMT Combat Outdoors  4.2 out of 5 stars 9,343  $54.99$54.99FREE delivery Thu, Feb 1 Or fastest delivery Jan 29 - 30 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","54.","9,343","4.2 out of 5 stars"
"Boots"," Fila Men's Chastizer Military and Tactical Boot  4.4 out of 5 stars 2,889  $51.60$51.60 List: $85.00$85.00 FREE delivery Thu, Feb 1 ","51.","2,889","4.4 out of 5 stars"
