"Category","Brand_Description","Price","Review_Count","Rating"
"Backpack"," GZ XINXING 45L Large Molle 3 Day Assault Pack Military Tactical Army Backpack Bug Out Bag Rucksack Daypack  4.7 out of 5 stars 3,813  200+ bought in past month$34.99$34.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 ","34.","Amazon's Choice: Overall Pick","4.7 out of 5 stars"
"Backpack"," +1REEBOW GEAR Military Tactical Backpack Large Army 3 Day Assault Pack Molle Bag Backpacks  4.7 out of 5 stars 21,524  3K+ bought in past month$39.99$39.99 List: $49.99$49.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 More Buying Choices$37.49(4 used & new offers)","39.","21,524","4.7 out of 5 stars"
"Backpack"," +3CVLIFE Tactical Backpack Military Army Rucksack 60L Large Assault Pack Detachable Molle Bag…  4.6 out of 5 stars 9,607  200+ bought in past month$39.99$39.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","39.","9,607","4.6 out of 5 stars"
"Backpack"," +6MOLLE Assault Pack, Tactical Backpack Military Army Camping Rucksack, 3-Day Pack  4.7 out of 5 stars 8,408  600+ bought in past month$30.99$30.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 More Buying Choices$30.68(4 used & new offers)","30.","8,408","4.7 out of 5 stars"
"Backpack"," +2SOG Specialty Knives & Tools Ninja Tactical Daypack Backpack, Olive Drab Green, One Size  4.7 out of 5 stars 11,747  600+ bought in past month$31.80$31.80 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 More Buying Choices$29.42(5 used & new offers)","31.","11,747","4.7 out of 5 stars"
"Backpack"," +3Military tactical backpack, backpack for men black tactical backpack small tactical backpack assault bag  Options:2 sizes4.7 out of 5 stars 1,452  1K+ bought in past month$28.99$28.99 List: $33.99$33.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 More Buying Choices$25.44(3 used & new offers)","28.","1,452","4.7 out of 5 stars"
"Backpack"," +135-45L Military Tactical Backpack for Men and Women Army 3 Day Assault Pack Bag Large Rucksack with Molle System  4.6 out of 5 stars 448  100+ bought in past month$32.99$32.99 List: $49.99$49.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 ","32.","448","4.6 out of 5 stars"
"Backpack"," +2Tactical Military Backpack for Man, 45L Waterproof Army Pack Rucksack Hiking Laptop Backpack 3 Day Bug Out Bag, Includes Two Flags and Two Carabiner  4.6 out of 5 stars 498  200+ bought in past month$38.99$38.99 FREE delivery Fri, Feb 2 ","38.","498","4.6 out of 5 stars"
"Backpack"," +10QT&QY 45L Military Tactical Backpacks Molle Army Assault Pack 3 Day Bug Out Bag Hiking Treeking Rucksack…  4.7 out of 5 stars 8,754  400+ bought in past month$35.99$35.99Join Prime to buy this item at $32.39 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 ","35.","8,754","4.7 out of 5 stars"
"Backpack"," +3Gootium 21101AMG Specially High Density Thick Canvas Backpack Rucksack, Army Green, Large  Options:2 sizes4.7 out of 5 stars 6,519  200+ bought in past month$49.99$49.99 List: $72.50$72.505% coupon applied at checkoutSave 5%  with coupon  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","49.","6,519","4.7 out of 5 stars"
"Backpack"," +1Tactical Backpack Military Army Daypack - Assault Pack for Men Molle Backpacks Bug Out Bag 3 Day Pack for Hiking Camping Travel Hunting Rucksack Trekking Coyote  4.3 out of 5 stars 16  50+ bought in past month$32.99$32.99Save 10% on 2 select item(s) FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 ","32.","16","4.3 out of 5 stars"
"Backpack"," Military Tactical Backpack - Large Army 3 Day Assault Pack Molle Bag Rucksack,40L  4.8 out of 5 stars 3,569  100+ bought in past month$27.99$27.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 ","27.","3,569","4.8 out of 5 stars"
"Backpack"," Military Tactical Backpack for Men, Survival Army Backpacks for Camping Hiking Trekking  4.6 out of 5 stars 282  $45.88$45.88 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","45.","282","4.6 out of 5 stars"
"Backpack"," Tactical Backpack Military Molle Bag Hiking Daypacks for Camping Trekking Hunting Traveling Motorcycle  4.3 out of 5 stars 1,292  100+ bought in past month$30.99$30.99Join Prime to buy this item at $27.89 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 More Buying Choices$25.18(2 used & new offers)","30.","1,292","4.3 out of 5 stars"
"Backpack"," Mardingtop 25L Tactical Backpacks Molle Hiking daypacks for Camping Hiking Military Traveling Motorcycle  4.4 out of 5 stars 522  $38.99$38.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","38.","522","4.4 out of 5 stars"
"Backpack"," +11LHI Military Tactical Backpack for Men and Women 45L Army 3 Days Assault Pack Bag Large Rucksack with Molle System  4.7 out of 5 stars 5,108  500+ bought in past month$39.99$39.99 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 ","39.","5,108","4.7 out of 5 stars"
"Backpack"," +15QT&QY 25L/35L/45L Military Tactical Backpack For Men Molle Daypack 3 Day Bug Out Bag Hiking Rucksack With Bottle Holder  4.7 out of 5 stars 2,979  1K+ bought in past month$35.99$35.99Join Prime to buy this item at $31.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","35.","2,979","4.7 out of 5 stars"
"Backpack"," 45L Military Tactical Backpack Large 3 Day Assault Pack Molle Bag Rucksack Bug Out Bag for Camping Hunting Hiking  4.7 out of 5 stars 1,543  100+ bought in past month$27.99$27.99 List: $29.99$29.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 ","27.","1,543","4.7 out of 5 stars"
"Backpack"," Black Tactical Backpack, Military Backpack, Molle Backpack  4.6 out of 5 stars 1,525  300+ bought in past month$29.99$29.99 List: $50.00$50.00 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 More Buying Choices$29.69(3 used & new offers)","29.","1,525","4.6 out of 5 stars"
"Backpack"," Mardingtop Small Tactical Backpack,Molle Hiking Backpack for Backpacking,Cycling and Biking,25L Backpack  4.6 out of 5 stars 591  200+ bought in past month$39.99$39.99 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 ","39.","591","4.6 out of 5 stars"
"Backpack"," GZ XINXING 64L Large 3 day Molle Pack Military Tactical Army Backpack Bug Out Bag Rucksack For Men  4.8 out of 5 stars 1,109  200+ bought in past month$58.99$58.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","58.","1,109","4.8 out of 5 stars"
