"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"1","evanston_dad","7 August 2017","James McAvoy gives what could have potentially been an award-worthy performance if it had appeared in a different film.He plays a man with multiple personalities who kidnaps three young girls as a part of a plot two of the personalities have hatched to unleash a powerful and unstoppable identity. Betty Buckley, in a better performance than the role necessarily needed, plays a therapist working with him and who begins to unravel the alarming plot. Writer/director M. Night Shyamalan, who hasn't made a movie I've wanted to see since ""Signs,"" crafts a nifty and effective thriller with three fourths of his film, and then sort of if not completely ruins it by taking his idea too far and pushing the supernatural elements to the point where we realize we're not even watching the same kind of movie we were at the beginning. This particular story, and especially McAvoy's performance, would have been compelling enough without Shyamalan's characteristic inability to understand when he's ruining his own premise.Grade: B","
            7/10
            "
"2","arniecage","2 July 2018","A fantastic performance by the film's star, James McAvoy is reason alone to watch this film. Every personality on display is distinct to the other, and he is so interesting to watch. Anya who was breath-taking in The Witch does a fine job here too. This is a film where M. Night Shyamalan reasserts himself as a serious director following a string of poor films. I absolutely cannot wait for the sequel and the conclusion of the Unbreakable series arriving in January. 8.5/10.","
            8/10
            "
"3","zlifb","13 August 2018","What a remarkable film! The premise of the film seems quite superficial at first but as the layers are peeled back there's so much more beneath.It's a horror film without special effects gore, an action flick without any car chases. A high-tension psychological thriller for viewers with active imaginations, who don't need to be spoon-fed every explanation.The acting is top-notch, the script sympathetic, the cinematography and set fantastic, and the music/sound subtle enough not to be noticed, consciously, while building the tension inexorably. It's gripping, un-turn-away-able.Seriously impressive. I don't give 10's lightly.","
            10/10
            "
"4","TheMovieDiorama","27 February 2018","Ahhhhhh I am so disappointed with this! I really wanted to love it, it ticks all the right boxes for a decent thriller. Yet somehow Shyamalan missed the mark. It's not bad, in fact it's crafted intricately...just not great. A man with 23 different personalities abducts three young girls as he prepares to unleash the 24th personality that dominates the others. This is extremely difficult to review. For every positive outcome there is a negative to counteract it. For example: Kevin's internal survival against the other personalities was an intriguing and compelling concept. However, the enthralling psychological analysis was negated by the stupidity of this whole 24th personality that is able to physically change Kevin. A thought provoking theme is decimated by an unrealistic concept in an attempt to be dramatic. It didn't need to be! The first act was going so well with interesting ideas that Shyamalan clearly has an interest in. His focus on this multiple personality disorder shows in the film. Patient and psychologist conversations take place that explains Kevin's fractured mind. Then it constantly shifts to the thriller aspect where these three young girls are trying to escape from a sinister location. It's not exciting. At all. These girls aren't put in any real danger or hardly attempt to flee so what's the point? They just exist for the finale which as a result makes the film absurdly boring. These girls are lifeless. Except Taylor-Joy's character who actually has some decent backstory, told through flashbacks. Split is a tool for James McAvoy to showcase multiple fantastic performances. Genuinely creepy and unnerving. His ability to automatically switch characters was faultless and found him to be highly enjoyable. Also like the final scene which harks back to a certain film which I shall not name. I look forward to future prospects. But in the end, Split was a failed attempt at a thriller but an intriguing psychological drama. It's unfortunate the two just didn't blend for me.","
            6/10
            "
"5","crberme","22 October 2017","I was surprised to see that this movie was released last year (as I'm writing this) and I didn't heard about it, taking in consideration how promising the plot is.Split is about three girls get kidnapped by a man with dissociative identity disorder (DID) that has 23 personalities. I have to say that this movie does not represent what DID really is and how people who struggle with it are, mainly because this movie gets a bit too fantastical sometimes. It doesn't try to be strictly realistic though, so it's an awesome thriller anyway.The movie gives you chills since the very start with an awesome acting by James McAvoy and some seriously good still scenes. The overall scenes make you have a weird feeling, something it succeeds to transfer to the viewer that you probably won't be able to describe. That makes this thriller stand out in a good way.Maybe Split makes a unrealistic representation of dissociative identity disorder, and that can be a big turnoff, but this is a great movie nonetheless.","
            8/10
            "
"6","sherryismyrealtor","2 July 2017","This movie will keep you watching waiting for the next character coming out of James McAvoy. He should have won some awards for his performance of a man with many different personalities. James was very convincing in every part he played. The end is great but I don't want to give anything away so I won't comment on that at all. Well written and the actors were perfect. Watch it today, just don't make the mistake of downloading a different movie called Split about bowling. I did that and that is one of the worst movies I ever saw!","
            8/10
            "
"7","Sleepin_Dragon","1 February 2017","Whether you've enjoyed or loathed the last few movies from M Night Shyamalan I don't think any of us could disagree the talent is still there, and after a few misfires comes Split. I can say unequivocally that this is the best thing I have watched in a long time time.The first thing I think this film will be remembered for is the stellar performance of lead actor James Mcavoy, a wonderfully charismatic and talented actor, I'm sure most of us adore, I feel here he's announced himself as a serious contender for mega roles. His ability to switch from one persona to another, to be dark, sinister, camp, soft, cute etc. is incredible, people sat around me watching the movie were stunned at how good he was. The Dennis, Hedwig and Patricia characters in particular show his total versatility.A brilliant supporting cast, Betty Buckley did a fantastic job as Kevin's doctor, as did the trio of girls, Anya Taylor-Joy I thought was especially good.I make it sound like he's the only reason to see the film, far from it, the opening is gripping, the story itself so chilling, and the ending a real surprise.I implore you, see this in the cinema.","
            9/10
            "
"8","grantss","13 November 2017","A man kidnaps three teenage girls and holds them prisoner in a basement. He has multiple personality disorder, and is the prize patient of Dr Karen Fletcher, who is using him as case study in the condition. Several of his 23 personalities make their appearance to the girls. While none of them seem particularly harmful, there are indications that there lurks inside of him an ultra-strong and violent personality, The Beast.Written and directed by M Night Shyamalan, I was hoping this would be a return to something like the form of his earlier films. Yes, it would be difficult to match the brilliance of The Sixth Sense but something approaching great would be a good start. Unfortunately his trajectory over the last 11 years or so has been decidedly downwards with some monumentally bad movies - The Happening, Lady in the Water and The Last Airbender (plus, probably, After Earth - I haven't seen it but apparently it is incredibly bad).So I was quite disappointed when I actually watched this, especially in the first half of the movie. Script, by Shyamalan, is weak, and padded. There was heaps of potential in the concept and themes but this is not used effectively.The biggest problem is that the initial plot is contrived and implausible. It hinges on you believing that the three girls would allow themselves to be held captive. They have plenty of opportunities to overwhelm the captor, but don't, and even when they actually figure on doing that we have a very weak and contrived reason for them not doing it.Plus there is a lot of padding to the movie. While the captor's visits to Dr Fletcher do add some depth to his character(s) and to her side of the story, much of it is unnecessary.So for the first half (even more) I was mostly sitting there thinking ""This is so unrealistic, just escape already!"" and getting bored at some of the discussions.It gets more intriguing and exciting in the second half, and starts to make more effective use of the multiple personality device, but that doesn't make up for the poor start.Can't fault the performances though. James McAvoy is great as the captor, having to essentially play about nine roles, and have to switch between them in a heartbeat. Anya Taylor-Joy is solid as Casey, with good support from Betty Buckley, as Dr Fletcher, and Haley Lu Richardson and Jessica Sula as the other two kidnapped girls.On the whole, not great, and certainly not in the same league as The Sixth Sense, Unbreakable or even The Village, but better than most of the stuff M Night Shyamalan has dished up over the last 11 years. A step in the right direction, at least.","
            5/10
            "
"9","BremenDruid","13 May 2017","Let me start off by saying that I haven't really like Shyamalan's work since ""Unbreakable"", but I have to admit that this movie made me believe in his vision again. I gave him another chance after hearing so many people raving about this movie, and I'm glad I did. This is an excellently acted, directed and thought out movie. It's intense, funny at some parts, and it is incredibly well thought out. Don't listen to haters just because they don't like Shyamalan's movies. Check it out for yourself and make your own decision.","
            8/10
            "
"10","LloydBayer","6 February 2017","What a terrific comeback for Shyamalan! Many have been vocal that horror writer-director M. Night Shyamalan has been on a downward spiral after having peaked with Unbreakable, his very own superhero origins film. Split sees the continuation of Shyamalan's tryst with the supernatural but also a long awaited rhetoric that this filmmaker was merely waiting for the right moment to resurface. While his last film - The Visit - was predictable but entertaining, Split underscores his storytelling prowess with the high level of creativity that made him a household name in contemporary horror.Yet fans will concur that Split isn't just a comeback either, rather a tactical setup of Shyamalan's very own cinematic universe. Put literally, the film is about a person with multiple personalities where each personality speaks collectively in full awareness of the rest. Although main character Kevin is said to exhibit 23 personalities, we see just a handful during most of the film. There's Barry, a New York fashionista, Hedwig, a goofy 9-year-old, and darker personalities Patricia and Dennis. Calling themselves The Horde, the latter two have influenced the abduction of three high school girls as a ritualistic sacrifice for the 24th personality often referred to as ""The Beast"". The girls have limited time before The Beast is unleashed and although paralysed by fear, their escape depends on protagonist Casey's (Anya Taylor-Joy) proactive deconstruct of the good and evil personalities that reside in Kevin. To her advantage and through revelatory flashbacks, we learn that this wouldn't be the first time Casey would confront a monster.If Edward Norton's dual personalities was chilling in his debut film Primal Fear, wait till you get a load of James McAvoy in what is simply an outstanding performance of versatility (or should I say two dozen performances in one film?). More than just a demanding role to pull off, McAvoy's broad range in this film has also elevated what could have been a familiar antagonist into a nerve wrecking supervillain. Which is why Shyamalan's so called signature twist ending is almost astounding. To be honest there isn't an actual twist in the story, but the ending is an unexpected but seamless integration into a sort of trilogy that will have most viewers gob smacked. It's an inside joke and almost as if Shyamalan is asking if we have you been watching closely, but also an extremely rewarding Easter egg for every true fan of the man. Welcome back Mr. Shyamalan!","
            8/10
            "
