"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"1","ThomDerd","5 January 2020","Grace is about to marry the youngest member of the very wealthy Le Domas family. But there's something sinister going on with this family... Well, the movie's central idea is not that new but the delivery of the idea, the pace and the performance of Samara Weaving really elevate this film. Entertaining and tense with comical moments that fit the genre, will make you follow almost all the characters in the film. Also kudos to the slow costume transformation of the bride and the juxtaposition of the prior wedding shots with what happens after, as this helps create a sense of relatability with Grace.One of the entertaining movies of 2019.8/10.","
            8/10
            "
"2","kosmasp","8 February 2020","Or is it? Right from the start we do realize there is more to it than just a simple game. So with that overshadowing the next section of the movie (viewer being ahead of our main character/heroine), it is up to the actors and the dialog/script to keep us on our toes and make this entertaining nonetheless.And the movie succeeds in doing so. I guess it could have been even better in some respects, but overall this is really good. The characters make sense (in their own universe) and the story is coherent enough (even if you may disagree with that statement during the end - I think the joke works quite well ... but that's me). Not for the faint hearted for sure ...","
            8/10
            "
"3","planktonrules","31 October 2020","""Ready of Not"" is a very, very violent, bloody and crude film. I am not necessarily criticizing it for this, but you must know this before you decide to watch. It clearly is an adult film...but even one most adults might have trouble watching because of all the gore. Be forewarned...you will see extreme violence, exploding people and more!!! Think twice before you watch!!This should be the best day of Grace's life. After all, she's just married a handsome guy from an incredibly wealthy family. But apparently, this marriage comes with a possible downside....the family are all Satan worshipers who owe their immense wealth to their demon master. And, as part of maintaining their wealth, they have a ritual for when new blood marries into the family...and if you pick the wrong card, the family hunts you and sacrifices you! What follows is this crazy family and their servants chasing Grace about in order to kill her and impress their lord and master!Despite the summary and TONS of blood and gore, the film is also a comedy. It's not a fall on the floor laughing sort of film but a darkly sick and twisted sort of comedy. The ending combines both...intense gore and the biggest laughs of the movie. Not everyone's taste...but funny and sick. And, it's also not for those who get motion sick, as the shaky cam is, unfortunately, overused in the movie.","
            8/10
            "
"4","UniqueParticle","21 August 2019","To me this was one of the best horror experiences have I ever had! Very suspenseful and fun to watch throughout! Samara Weaving is masterful in the type genre and I absolutely love how there's dark comedy in a few parts. It's very important to note this is very gory no it's not a spoiler just a warning for the squeamish type; for the horror fans you're in for a wonderful treat!Edit since this review is doing so well my name is Alex Nolan and I'd like to become very well known like Roger Ebert!!","
            9/10
            "
"5","TreasureHunterGirl","31 October 2019","Yes, it is a horror. Yes, it is a comedy. Yes, it is a great watch.I laughed a lot watching this movie. I also cringed a few times from the gorey horror. I didn't know much about it going in. I honestly couldn't pick how it would end which means I was interested the whole way through.I liked all of the performances, especially those of Samara Weaving and Adam Brody. They had interesting characters. Andie MacDowell and Henry Czerny were great too. Everyone was. No one let the team down.I really enjoyed this movie. I honestly don't understand all the 1 and 2 ratings. Even if you didn't like it, it doesn't deserve that low of a rating. It was just a really fun movie to watch. Give it a chance.","
            8/10
            "
"6","Leofwine_draca","20 October 2020","READY OR NOT is an interesting film but also a deeply flawed one that's never quite as funny or as entertaining as it tries to be. I liked the whole idea of the sinister rich family in their wonderful 'old dark house' inspired mansion and the idea of the heroine being hunted down, a little like the French flick FRONTIERS. Unfortunately what promises to be a TURKEY SHOOT-style cat and mouse story of human hunting turns into a largely aimless comedy with repetitive set-pieces and a sub-par script substituting bad language for wit. It's a pity, as the direction is solid and the performances are strong, but imagine this cast with proper dialogue to play with! I also found the climax a cop out as I was expecting this kind of over-obvious thing to happen. Not a bad film, just something I was expecting more from.","
            5/10
            "
"7","Bertaut","14 October 2019","Written by Guy Busick and R. Christopher Murphy, and directed by Matt Bettinelli-Olpin and Tyler Gillett, Ready or Not is a horror-comedy and social satire that comically exaggerates the anxieties attendant with marrying into a wealthy family and mocks the insular nature of such families, so obsessed with their wealth that they've become disconnected from the real world. In the tradition of Richard Connell's 1924 short story, ""The Most Dangerous Game"", the film is about elites hunting common folk, but it tells its story with tongue firmly in cheek. And whilst it can be a tad episodic at times, and the manner in which it presents some of its violence is somewhat problematic, this is a very enjoyable and funny film that's well worth checking out.It is the wedding day of Grace (an exceptional Samara Weaving) and Alex Le Domas (Mark O'Brien), whose family earned their fortune making board games, and are now decadently wealthy. Several years previously, Alex turned his back on the family, and it's only since he met Grace (a foster child eager to have a family to call her own) that he has started to rebuild bridges. His mother Becky (Andie MacDowell) and father Tony (a barely sane Henry Czerny) are thrilled to have him back, and credit Grace with his return. His aunt Helene (a hilariously acerbic Nicky Guadagni), however, makes no bones about the fact that she hates Grace. Elsewhere there's Alex's brother Daniel (Adam Brody), an alcoholic locked in a loveless marriage to Charity (Elyse Levesque), and their cocaine-addicted sister Emilie (a wonderfully hapless Melanie Scrofano) and her husband Fitch (a scene-stealing Kristian Bruun). Shortly after the ceremony, Alex explains a strange family tradition to Grace - whenever someone new marries into the clan, they must participate in a game, chosen at random by a mechanised box using a deck of cards (Charity gor checkers). At an austere ceremony, Grace is asked to operate the box and she receives the hide and seek card, with Tony explaining that the only way for her to win is to stay hidden until dawn. And so, Grace hides in the mansion, unaware that the family (sans Alex) are arming themselves with crossbows, axes, hunting rifles, and assorted antique weaponry.The film's various psychoanalytical/satirical subtexts are fairly obvious - a lampooning of blue blood families clueless as to how the real world works, a savage deconstruction of the institution of marriage, and a gynocentric celebration of a woman fighting back against old-world patriarchy. In relation to these last two themes, nowhere are they more apparent than in Grace's wedding dress, that most classic symbol of marriage, which becomes dirtier and more damaged as the film progresses, with costume designer Avery Plewes using the dress to show the stages of Grace's symbolic deconstruction of the institution of marriage (to survive the night, she must make the dress more conducive to running and hiding, which involves a lot of ripping and tearing).Concerning the film's engagement with wealth, essentially it suggests that, yes, as we all know, the rich are very different from you and I, but could it be that not only are they different, maybe they're actually evil? Of course, it's not suggesting this with anything even approaching realism, and much of the film's humour comes from the Le Domas family itself; they're wealthy, evil, violent, and powerful, but so too are they hilariously incompetent. For example, it's been so long since anyone has got the hide and seek card that everyone is a little fuzzy on the rules, and they spend a good chunk of the film arguing with one another about the hunt - Fitch and Charity want to use modern weapons, but Tony maintains they have to use antique weaponry, nor are they allowed to use the castle's security cameras to track Grace.This all goes back to a century-old deal made between the family's original patriarch Victor and a mysterious traveller named Mr Le Bail, who promised Victor that the family would become hugely wealthy, but only if they maintained the tradition of having new family members play a game on their wedding night, laying out the rules for what was to happen if they got the hide and seek card. Tony argues that the rules can be no different from those originally established by Le Bail, but, really, his argument never amounts to much more than ""tradition...reasons"". The film gets a lot of laughs out of showing characters trying to get to grips with their weapon - from Fitch taking time out from the hunt to look up ""how to use a crossbow"" videos on YouTube to Emilie accidentally dispatching several maids due to her inability to handle her weapon.Another theme, although one not developed to the extent of the above, is religion. Le Bail, for example, is believed by the family to be a demonic figure, and his name, obviously enough, is an anagram of Belial, the demon from the Tanakh who would later form the basis for the Christian and Jewish depictions of Satan. On the other hand, Grace's name most likely references the idea of Divine grace. Elsewhere, the film depicts a pit of slaughtered goats, alluding to ritual animal sacrifice, a pre-Christian practice. Goats are also important in Christianity, especially in the practice of scapegoating, whereby a goat takes upon it the sins of the community and is cast into the desert, symbolically removing the taint of those sins (as per Leviticus 16:8-10). Along the same lines, Grace injures her hand on a nail, in a veiled reference to the Stigmata. However, whether or not we're supposed to interpret her as a Christ figure is hard to say as, although these references are interesting in isolation, they never really coalesce into anything concrete.Looking at some other problems, the film is, generally speaking, very slight; it's short and it's silly, and it's not going to change your life or lead you down the road of esoteric revolution. The violence is also (somewhat) problematic. The film maintains the stance that the rich are insane and the violence they mete out is contemptible. However, some of the biggest laughs are reserved for Emilie's accidental killing of the maids. And I have to admit, I found the way she haplessly dispatches two of them exceptionally funny. Also funny is that after one of the kills, the family are trying to have a conversation, which is continually interrupted by the gurgling of a mortally wounded maid; until Helene takes an axe to her head. And again, I have to admit, I laughed a lot at that scene, even though I recognised that the film was essentially asking the audience to see this violence as funny but some of the violence elsewhere as not so much. In this sense, it kind of wants to have its cake and eat it, picking and choosing when the audience should laugh; it takes Grace's stakes seriously but also encourages us to laugh at some (and only some) of the violence elsewhere, which is problematically inconsistent.Nevertheless, as I said, these scenes did make me laugh, so make of that what you will. Although Ready or Not is slight, its satirical ire is focused, even if the tendency towards irreverence doesn't always chime with the tone of the socio-political agenda. Allegorically skewering inherited wealth, marriage, tradition, even religion, the film suggest that with their atavistic rules and sense of entitlement, the Le Domas family embody the concept that old-money can lead to insularity from modernity. Offering us a match, the film suggests that perhaps the only way to deal with such irrelevancies and their sense of self-importance is to burn them to the ground. And it has a blast showing us why.","
            7/10
            "
"8","Slarkshark","30 July 2021","This was a good bit of fun. Dark comedy with plenty of gore and an explosive ending. Still filled with bonehead decision making, as one would expect with a horror type film.Samara Weaving does well as the bride, and surprisingly does not just turn into some random badass with a mystery background complete with combat training.Think 'Knives Out' mixed with 'The Hunt' and voila, you have 'Ready or Not'.","
            7/10
            "
"9","natcalgary","27 November 2019","This movie blew my mind. It is a slasher/gore film with the perfect amount of comedy.
The story line the acting the whole thing just reeks of a cult classic and I will reccommend this highly.8.6","
            8/10
            "
"10","alfredocardoso","23 November 2019","It is a great thriller with a good dose of comedy. It doesn't set out to be taken seriously, it is just a great hour and a half of fun. Just a great watch. Give it a chance; I would love to watch more titles like this one.It doesn't waste time with useless background, we all know what we need right from the start and that's it. After that, it's just a fun ride.Samara Weaving is the absolute best, she mixes fear, irony, humor and toughness like no one else. Loved her in The Babysitter and in this one.Just go for it.","
            7/10
            "
