"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"1","kevin_robbins","20 November 2023","My wife and I watched The Hunger Games: The Ballad of Songbirds and Snakes (2023) in theaters last night. The hunger games are struggling to maintain viewer interest so they decide to undergo rule changes, challenging mentors to guide their tributes to success. Young Coriolanus Snow believes he has a winning plot with a talented singer from the 12th district...Directed by Francis Lawrence (The Hunger Games: Catching Fire) and featuring Rachel Zegler (West Side Story), Tom Blyth (Billy the Kid), Viola Davis (The Help), Hunter Schafer (Euphoria), and Peter Dinklage (Game of Thrones).Regrettably, this installment is the weakest in the series and a significant letdown. Despite potential in the writing, Viola Davis delivers a stellar performance, while Rachel Zegler's acting feels rigid and unnatural, lacking authenticity. The writing falls short with average songs, dragging scenes, and a reliance on CGI, particularly in the water bottle and building collapse scenes, which appear cheesy and ridiculous. On the positive side, the villain shines, and the unpredictable evolution of Snow is outstanding. The final scene in the woods, however, disappoints after a brilliantly set-up sequence. The absolute final scene almost redeems the film by closing the premise perfectly.In conclusion, it's best not to continue with any more Hunger Games films. This one falls flat. I would give it a 5/10 and only recommend it to diehard fans unafraid of potential disappointment.","
            5/10
            "
"2","Tweetienator","21 November 2023","In my opinion, there are two major issues with The Hunger Games: The Ballad of Songbirds & Snakes. First of all, the timing and momentum of the movie are too slow, and the acting is not on par with that of the original series' cast. While the original movies had a lot of fine acting and characters that I cared deeply about, I did not relate to any of the characters in The Ballad. The Ballad of Songbirds & Snakes is not a total disaster, but it is mediocre at best, with some parts being too lengthy and others too short. Having read the original books and being mostly satisfied with both the books and the movie adaptations (despite their flaws), I cannot say whether the mess in storytelling is due to the book or just the movie's script, as I have not read The Ballad of Songbirds & Snakes. Also Songbirds & Snakes reminds me of that bad last Star Wars trilogy - they copied everything from the original source but failed to catch the soul, charm and grandeur entirely, everything just felt formulaic, even dead.","
            4/10
            "
"3","skylermoore","23 November 2023","No matter how faithful a movie is to the book, it can't save itself from the fact that it's unneeded. Backstory to snow is fine if it adds something new to the universe, however nothing new is added here, we get taught everything we knew about the world and get tiny little snips of backstory of the origins of the Hunger Games. For the movies insane long run time, the final act of this film seems like a race to get to the end of the story. The slow paced world building it creates in the first two acts is immediately thrown out for the purpose of reaching that finish line. Unlike the last Hunger Games movies being split into two, this is the Hunger Games movie that should have been split into two. We don't get to the motivations and reasonings behind characters other than a line or two then we arrive at them. Another hour and a half of story telling could have fleshed these characters out and made the ending more meaningful. However we're left with a film that doesn't seem to ever end, masked with good acting, set design and great cinematography. But a film that is messy, long and drawn out only to be shot into a moc 10 speed at the end. Leaving this movie feel completely unnecessary.","
            5/10
            "
"4","nscoby93","23 November 2023","I don't know where to start this review as I am just exhausted. Watching this movie felt like a Hunger Games trial.I guess I'll start by saying I'm not the biggest fan of this series. In fact, I didn't even watch all of the films until just a couple of years ago during the COVID shutdown, and I never thought any of these films went past slightly above average to above average. I'm sure the diehard fans would greatly disagree, but it is what it is.So The Ballad of Songbirds and Snakes, is it the epic that this film seems to be shooting for? Well, to that question, I answer with a resounding no.As the credits rolled and I was looking up scores and reviews for this film, all I could think was, ""What am I missing?"" The positive scores and reviews just puzzle me. Now I didn't think this film was trash because there is some good content here but dear oh dear for a film that is close to three hours but damn near felt like four they didn't take time to do anything.At it's core we are expected to truly love and care for the two central characters Coriolanus Snow (Tom Blyth) and Lucy Gray (Rachel Zegler). Despite both Tom Blyth and Rachel Zegler's efforts, I just couldn't care. Blyth and Zegler gave really good performances in their respected roles but their relationship just felt so rushed, and while I may not care for her person I cannot deny that Rachel Zegler is a talented actress and she does have a beautiful singing voice. She gave a great singing performance as she did in the remake of West Side Story, though not all her songs were that good, and some were just out of place. Her singing, in my opinion, felt more in place during the third act.But that's genuinely what I think holds up this film, the cast. The supporting cast in particular, with Peter Dinklage and Viola Davis being the absolute standouts in their supporting roles, and that's probably because those two characters were more interesting to me than the others. While the rest of the supporting cast gave solid performances, the characters themselves were just either poorly written or didn't have enough screen time to become important. Now I understand, for the most part, these characters are to serve as canon fodder in the arena, but for a film this long, you could at least try to make me care for a character or two.Now for The Hunger Games itself, the titular event. I don't think there has been a more boring Hunger Games. Soo much was going on, but nothing was happening. You'd think the event that is the films namesake would carry more thrill, tension, or drama, but none of that was here. Mostly due to the fact that I just didn't care for any of the tributes, and that's because they bullet trained to this event. Granted, there were certain moments leading up to this sequence that were interesting, particularly the scene in what looked like a courtroom or meeting room where they discussed The Hunger Games and how to make them better. But none of this worked in making me connect to the other characters.Also, this film is more about Snow and his relationship with Lucy than the Hunger Games itself, which would be fine if that relationship was executed properly. I mean, you have the time. You literally gave yourselves the time, so just use it.By the conclusion of the second act, all I could think was, ""There's more?"" The third act, fortunately for me, did garner most of my interest. That's just because I loved the idea of seeing Snow getting back what he lost. It was like watching a dollar store House of Cards, which is a shame because it could've been great, but once more, they didn't take their time. Instead, they really rushed through Snows character arch and cheapened it. I was actually enjoying the whole third act as I genuinely loved the concept that they had here, but it was botched in execution.Finally, after all this, is there at least a satisfying conclusion? No. If this film is supposed to connect in some way to the first Hunger Games, then that ending was terrible. Now I haven't seen the first movie in a long time but I don't see the connection if there is one. This will lead me to say that this is the films biggest problem. They are clearly wanting to tell a prequel story that I feel they want to span into a prequel trilogy but with no guarantees of being able to do that they try to fit everything in one film and it just doesn't work. Because of this, it made me feel like I was watching multiple movies in one when I'd rather watch one movie that sets up a trilogy than watch a single movie that's trying to be a trilogy.Well, I'm going to wrap this up and say that while I didn't hate this film, I definitely didn't love it, and as I mentioned before, there is some good content here. Perhaps with better direction and maybe some better writing, this film could have truly been something special. I will, at the very least, say this was a pretty movie, and it did look good on the big screen.PS. If I had a nickel every time Snow shouted Lucy Gray!IMDb: 4/10
Letterboxd: 2/5Watched in Theaters.","
            4/10
            "
"5","vitordrios","16 November 2023","Funny people in the comments not expecting songs from a movie that starts with the name THE BALLAD OF.The whole point of the movie was to show how Snow starting rising to power and also how the Capitol started being manipulated into start liking and watching the games.It was a great adaptation, the most faithful one since Catching Fire. Rachel Zegler is a great singer and a great actress. The songs are very important to the story, every song contains an important part of the movie ESPECIALLY the one she sings laying down by the lake.People need to actually pay attention to what they're watching.","
            9/10
            "
"6","movieman6-413-929510","19 November 2023","The Hunger Games: The Ballad of Songbirds & Snakes is a prequel to the Hunger Games film series. This film is directed by Francis Lawrence, who also directed the last three Hunger Games films.Young Coriolanus (Tom Blyth) is assigned as the mentor of tribute Lucy Gray Beard (Rachel Zegler) from the poor district 12. Coriolanus must prepare her for the popular Hunger Games.During these training sessions, Coriolanus learns about the dark side of the Capitol and what kind of danger the tributes actually face during the Hunger Games. He tries to help Lucy Gray as much as possible, but this can sometimes get him into trouble.This prequel could be entertaining for fans of the Hunger Games film series. Through this film they can learn more about the history of the world and the younger life of President Snow. They show so well how this older world worked and what the technologies looked like and worked at the time.In addition, the prequel seems a bit unnecessary, because in addition to the extra lessons you can learn as a fan, the film offers little new or special. The film also remains on a familiar side and brings little new with it, except for some light history lessons. As a result, the film can seem a bit long-winded at times. Especially due to the unnecessary, long running time of the film.The visual effects also seem less realistic compared to the better films in the film series. Later in the film it is more noticeable that the actors are acting in front of a green screen, which can sometimes take you out of the film. The CGI can also be seen somewhat. Furthermore, most of the weapons in the film do not always seem believable. This way they bring out less tension when the characters fight each other with these.Tom Blyth comes across well as a younger President Snow, but is still a bit at the beginning end of his acting career. Compared to Donald Sutherland, he tries to appear a bit lighter and friendlier as this character. Unfortunately, knowing how this character ultimately became this way does not provide much interesting information. Unfortunately, Rachel Zegler also delivers more standard acting. Especially when you start comparing her to Jennifer Lawrence. Jennifer Lawrence really managed to break through as an actress thanks to her acting in the old Hunger Game films.Supporting actors Peter Dinklage and Viola Davis provide the best acting. Viola Davis also shows that she had fun acting in this film. In the third, lesser chapter of the film, Burn Gorman provides the better performance as an army commander of district 12.","
            4/10
            "
"7","gabriel-80","15 November 2023","I have connected faster to characters in 40 minute tv show episodes than any of the characters in this 2 hour and 38 minute feature film. None of the characters are likeable, none of the characters have clear motivations - except Snow's friend, who constantly tells us that something is rotten in the state of Panem, in case the audience fail to connect the dots themselves.When the movie reached its conclusion, I had no idea what journey it was supposed to convey. If not for the pompous soundtrack (a dissapointing score by the otherwise great James Newton Howard - I think he struggled finding an emotional core in the screenplay) I wouldn't have known that the movie had reached the end, and our main characters journey towards evil was complete.And what the hell is it with all those music acts?! I know they are part of the book, but in the movie they are just annoying, mainly because the lead actress performing them sings like some cocky, pitch perfect dixie chick with overly theatrical facial expressions - resembling Jack Black at his most exaggerated.Katniss in the original movies felt grounded, real, vulnerable. Lucy in this one has no sense of purpose. She is just perfect, powerful and righteous from the get go, leaving no trace of dubiousness, no space for development, and thereby, no reason for the audience to connect with her. She feels like a plot device on Snow's journey towards darkness, with absolutely no chemisty between her and our antagonist to be.What a waste of my time.","
            5/10
            "
"8","ArchilArjevanidze","17 November 2023","I'm staggered by the stupidity of the script, the characters, story arcs, motive, plot. It's mindless and random most of the times, seemed like an AI wrote it based on a templates of generic films. Good guy turns bad just because story needs him to be, two characters fall in love just for the sake of it. The dialogue between friends is constant plot point and a script note where main dude always highlights how he is poor and his friend has a rich dad, it can become a fun game because whenever these two are in the scene together you start to expect it to be mentioned, and it always does lol. Very bad, maybe writers strike affected it, but it's based on a book and I don't know maybe it's the source, I doubt I'll read it after this anyway.","
            3/10
            "
"9","dannibairstow","26 November 2023","I will start by saying I don't think it's an 8, maybe a 7.5-7.7 so I rounded up.However, I went in with low expectations, expecting a big budget movie with a poor storyline but otherwise reasonably watchable. Well, I was pleasantly surprised to find myself hooked! And I daresay it was one of the better Hunger Games movies.The bad reviews I've read seem to miss the point. This is not a story about the origin of the games, it is not a story about 'Lucy Gray"" (even though her name is said about 1000 times)... It is a story about Snow and why he became the psychopath we know from the original stories. I found the not-so-happy ending refreshing and if you enjoy and understand social economic/philosophical dilemmas in terms of human psychology then it adds a notch of appreciation.Viola, Tom and Peter were excellent in their portrayals. Zegler was fine, a little theatrical but given her background I suppose understandable.I don't understand the hate. Especially the 1-3* reviews. Like, what were you watching!?","
            8/10
            "
"10","Sleepin_Dragon","17 November 2023","It's been some years since the franchise have us Mockingjay Part 2, my interest peaked at Catching Fire, but slowly diminished as it went on, I thought this looked recent from that trailer, for me though this was a bit of a damp squib, it wasn't bad, it just didn't hold my attention, a film I just couldn't get into.I had a feeling the film would struggle without Jennifer Lawrence, and it really did, I had no issues with Rachel Zegler's acting, indeed I thought the was rather good, but I couldn't attach to hers, or any of the characters, I just found them all a little anonymous, and almost impossible to empathise with.A mixed bag in terms of production, I thought some of the visuals were great, some terrific special effects, but all of that music, it just wasn't for me, I didn't quite see the appeal.Do yourself a favour, go and see Saltburn instead, an infinitely better film, I did thr double, that captivated me, this one sent me to sleep.5/10.","
            5/10
            "
