"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Happy Death Day","Sleepin_Dragon","23 September 2019","Jessica Rothe shines through in this tongue in cheek horror. It's a film that doesn't take itself too seriously, the characters, means of death, and outlandish humour move it into the horror comedy genre.I loved the reference to Groundhog Day at the end of the film, I would imagine there was some sort of in joke there, and of course any film that involves the loop storyline will have reference to the great Bill Murray film.There were some great twists and turns, the best one coming at the end. This was very enjoyable. 7/10","
            7/10
            "
"Happy Death Day","Top_Dawg_Critic","23 October 2017","This type of movie has been done many times before and rarely succeeds, but this one was a hit for me! Jessica Rothe's performance is what kept me interested... she nailed her character and was convincing and funny as well.I don't want to give too much away, but the twists towards the end were a nice surprise and earned a few extra points from me.It's classified as a Horror, Mystery, Thriller but it's also a comedy as I found myself laughing a bunch of times.Certainly a must-see entertaining film produced and executed very well, much better than many other films in this genre.It's a well deserved 9/10 from me.","
            9/10
            "
"Happy Death Day","TheLittleSongbird","2 November 2017","Saw 'Happy Death Day' as somebody who was fascinated by the concept, found the advertising interesting and good enough to warrant a view and who appreciates horror when done well. Seeing it just before Halloween as part of my Halloween celebrations, will admit to not being as bowled over by the film as would have liked but enjoying it a good deal.As surprisingly interesting as the advertising was (and there has been some dreadful advertising this year, a notable recent example being the completely mis-marketed 'Geostorm'), it is also misleading. One would expect a truly frightening film judging from the trailers, but actually 'Happy Death Day' happened to be much more than what was indicated and wasn't what one would call terrifying or sleep-with-the-light-on-for-a-week. The good news is that 'Happy Death Day' actually makes the most of its concept, refreshing having seen films recently that had concepts that they didn't do anywhere near enough with. The not so good news is that as enjoyable as it was it did feel like something was missing.It is easy to see why lots of people will like, and have liked 'Happy Death Day'. It is just as easy to see why it will be, and has been, a let-down for others. My opinion has shades of both, leaning towards the former. 'Happy Death Day' may be somewhat standard (while the concept is a pretty unique one, some of the story elements aren't), superficial (other than the lead character, the characters are developed very flimsily) and some parts don't make as much sense as they could and feel unfinished.Was expecting more from the killer twist reveal, which is not as clever and surprising as one would like and the whole ending felt rather silly and rushed to me (the killer's motive also came over as really trivial for an elaborate set-up). A little slow to begin with too, it's once the concept kicks in when 'Happy Death Day' properly comes to life and maintains that energy for the rest of the film.For all those faults though, 'Happy Death Day' is also refreshingly self-aware, almost very much aware of its standard-ness and superficiality and acknowledges it, and manages to be lots of fun, creepy-suspenseful and surprisingly thought-provoking. Gruesomely funny sums it up very well.'Happy Death Day' is a long way from amateurish visually, the photography is stylish rather than slapdash, the editing has suitably unnerving moments and the lighting is atmospheric. Christopher Landon never lets it get too heavy while not diluting the fun or scares, and the at times haunting and at others times funky soundtrack adds a lot.When it comes to the script, 'Happy Death Day' is full of knowing humour and never removes its tongue from its cheek, instead keeping it firmly intact throughout which proved to come off really well. It also really makes one think. The story execution is not perfect, but it's never dull and has some neat twists and turns that stops it from being predictable and repetitive.Jessica Rothe should become a bigger star after her excellent lead turn here, she has been acting a few years before this but this is the first time where she really held my attention and allowed me to take proper notice of her. Israel Broussard is also very believable and the two have great chemistry together. The acting on the whole is solid but essentially it's all about Rothe and she is one of the main reasons why 'Happy Death Day' is worth a viewing.Overall, a long way from perfect but quite enjoyable. 6/10 Bethany Cox","
            6/10
            "
"Happy Death Day","moonspinner55","23 October 2017","Jessica Rothe is amusingly pithy and savvy playing a selfish college beauty, a spoiled sorority sister who rules the school until she is stabbed and killed on her way to a surprise birthday party by a masked lunatic. But fate plays this campus cutie an unusual hand once she discovers she's living her birthday over and over again, each time attempting to cheat death but always running into her attacker. Screenwriter Scott Lobdell isn't trying to sneak a slasher variant of ""Groundhog Day"" passed us--he's upfront about the similarities, even exalts in them, while toying with all the possibilities such a scenario can offer. It takes Rothe three tries to fully comprehend what's happening to her; once she formulates a plan (creating a suspect list), Lobdell mixes things up, so that the movie rarely feels repetitive. Our heroine, snarky to start, follows Bill Murray's example and becomes a better person on her twisted journey (reestablishing contact with her father, apologizing to her roommate, even causing her own demise on one occasion to prevent the cute nerd from the boys' dorm from losing his life). Director Christopher B. Landon deserves credit for delivering a modern-day thriller with lots of action but no gore and no nudity. If it isn't quite a family-friendly slasher flick, it certainly is a squirrelly, sassy one, with some big laughs counterbalancing the suspense. Good show! *** from ****","
            7/10
            "
"Happy Death Day","claudio_carvalho","1 November 2018","On the day of her birthday, the college student Tree Gelbman (Jessica Rothe) awakes in the male dormitory on the bed of Carter Davis (Israel Broussard). She learns that she was totally wasted in the previous night and she leaves Carter to meet her snobish Kappa friends. Then she despises Carter that brings her bracelet that was forgotten in his room; ignores the calls of her father that wants to have lunch with her; visits the office of her professor Gregory Butler (Charles Aitken), who is married and is having an affair with her; and despises her roommate Lori Spengler (Ruby Modine) that gives a cupcake to her. During the night, Tree goes to a party at the Sigma house but is murdered by a hooded masked man while crossing a tunnel. Out of the blue, Tree wakes up on her birthday day on the bed of Carter and relives the day, when she tries to find who might be the killer.""Happy Death Day"" is a surprisingly good film, with the combination of horror, romantic comedy, mystery and thriller genres. The most important is the humor and Jessica Rothe´s performance is great in the role of the cynical Tree Gelbman. There are jokes also with ""Groundhog Day"" and teenage slashers and campus movies that work very well. Her list of suspects is hilarious and the dark humor of the alternate ending is a plus of the DVD. My vote is seven.Title (Brazil): ""A Morte Te Dá Parabéns"" (""The Death Gives Happy Birthday"")Note: On 15 April 2023, I saw this film again.","
            7/10
            "
"Happy Death Day","Pairic","14 November 2017","Happy Death Day: A student keeps reliving the same day which ends with her being murdered by a masked killer. At the first re-iteration of the day she is puzzled, the next time she is shocked but by the third raw panic sets in. The day rests anew each time as she wakes in the dorm room of she has crashed in. Eventually she enlists his help in an attempt to identify her murderer. Many red herrings are caught.While this film contains many of the teen slasher tropes it transcends them with an inventive script and wonderful dark humour. 8/10.","
            8/10
            "
"Happy Death Day","Platypuschow","21 February 2019","I've been looking forward to this ever since I saw the teaser trailer, sadly it's taken me this long to get around to it.So did it live up to expectations? Not entirely, but I walked away happy regardless.For those unaware it's Groundhog Day (1993) with murder as we see a girl repeatedly being killed off only to start to day anew. Personally I loved this idea and was curious with where they were going to go with it.The traditional slasher tropes are all present, some great dark humor is in the script and the cast are all on point. Notable especially is our leading lady Jessica Rothe who was excellent though I spent half the movie baffled by just how much she looks like Melissa Benoist.I'm not sure the finale was up to the same quality as the rest of the film and that is perhaps why it's receiving a 7 not an 8. Something about it just felt inferior and saw the movie go out with a bit of a fizzle.Regardless I can see why the film was so successful, congratulations to everyone involved because though I didn't find it as mind blowing as I'd hoped I can't deny that this is a very inventive fun little film.The Good:Jessica RotheCast are all greatFantastic conceptSome great ideasThe Bad:Weak soundtrack for a movie of this ilkFinale was underwhelmingHearing the same dialogue repeatedly can get frustrating","
            7/10
            "
"Happy Death Day","giorgosstefanidis","31 August 2020","This movie is so enjoyable and so fun to watch you wouldn't realise that the time passed so quickly . The leading actress nails her role like the other cast . The ending is great , the jokes are funny , the jumpscares are scary . Overall an amazing movie","
            9/10
            "
"Happy Death Day","kevschwaller","7 October 2017","I saw a pre-screening of Happy Death Day and let me tell you, it was one of the most fun theater experiences I've had. The movie doesn't take itself too seriously, which is definitely for the best. If anyone walks into a movie about a sorority girl living the same day over and over and being killed over and over and expects it to be some genre-defying horror perfection, that's on them. However, that doesn't mean this is a bad movie by any means. Jessica Rothe as Tree Gelbman and Israel Broussard as Carter Davis are fantastic as the two leads. They have excellent chemistry and make us root for them. Rothe's character wasn't the typical horror movie sorority girl, either. She was cunning and badass. She made us believe she could actually figure this mess out. If you don't change your mind on who the killer is at least twice throughout the film, you aren't paying attention.There are curveballs thrown left and right, which made my theater gasp and yell numerous times. You think the movie is about to end on at least two different occasions. The script is smart, there's horror, there's comedy, there's drama. Happy Death Day takes you in numerous directions, while also making sure you have fun along the way. This is definitely one of my all-time favorite campy horror flicks out there. It even pokes fun at Groundhog Day, which it very clearly took some inspiration from. I recommend this to anyone who enjoys horror; again, it doesn't redefine the genre and there are definitely an abundance of clichés. With that, though, there are still a handful of clever moments I certainly was not expecting.","
            7/10
            "
"Happy Death Day","stevencvgarcia","14 October 2017","I think people going to see this movie are expecting wayyyy to much from a slasher movie. I'm rating it based on what I expected, and I was certainly impressed. This movie wasn't trying to be anything more than another murder movie, but what made me want to see it was the idea of taking Groundhog Day (which it fully admitted to ripping the idea from) and turning it into a slasher film. I was actually surprised it held back on gore and blood. I was fully expecting it to be all the tropes of gross-out killings, but it was instead focused more on character development and the story. I admit the characters are a bit one-dimensional, but again, it's a slasher movie. It's trying to win any academy awards here. In many ways I think it's parodying those one-dimensional characters of college trope characters and the ""last girl"" in horror movies because it goes all-in on establishing the main characters as somebody you're meant to hate at first. The ending genuinely took me in a direction I didn't anticipate, and then it took me back to what I was expecting, but did it in a way that I felt fresh. All in all, I had fun watching this movie, which I think what this movie was meant to be: Fun.","
            8/10
            "
