"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Mean Girls (2024)","ryanpersaud-59415","17 January 2024","You know when you photocopy something and the copy looks slightly worse? That's how I feel about Mean Girls (2024). It's an impression of the 2004 classic, a sometimes fun one, but ultimately, far worse in every regard.Let's get this out of the way: this is a musical. I's not bad because it's a musical, it's just a bad one. The songs are pretty terrible; I can't remember a single melody from any of them. They all sound overly flat and processed, and mixed terribly. No duets or ensemble songs either; they all feel designed to be pop songs, which is decidedly a TERRIBLE way to write songs for a musical. Secondly, the songs don't advance the plot at all, often focusing on surface level aspects of a scene. Also, the lyrics are just flat out bad. Why start ""Sexy"" as an ode to Halloween, but then completely abandon that fun premise and have it sound like a generic EDM pop song? Why sing Apex Predator that grating way?Not to mention, this film lacks the iconic score and theme music from the original, aside to briefly remind you of the better movie. Most of the scenes at least feel silent and frankly, kind of awkward.Awkward is probably the best way to describe a lot of the performances. Many of them are impressions of the original, and while some are fun: Bebe Wood gives a decent *impression* of Lacey Chabert's Gretchen Weiners, but without the manic intensity. Avantika is cute and funny at times as Karen, but also acts utterly braindead, unlike Seyfried, who really humanized the role. All the characters' base aspects are dialed up to 11, which makes me suspect the writers didn't understand them in the first place.Three stick out: Cady (played by Angourie Rice) made me realize how fantastic Lindsay Lohan was as the character 20 years ago. Lacking an internal narration (given to Damien and Janice, which suits a stage play but not a film), she's a boring and lifeless character, played by Rice, who often seems uncomfortable in the role and frankly, can't sing. Not to mention her relationships with the Plastics and even Janice and Damien never really feel ""real."" The only time she's convincing is when she's pining over Christopher Briney's Aaron Samuels (who is amazingly even less a presence here than in the original).Janice (Auli Cavalho) is perhaps the most illustrative of how thin and weak the writing and performances are. Not only does Cavalho not hold a candle to the biting, punk rock essence of Lizzie Caplan's Janice, but she's an objectively worse character. OG Janice was charming and smart, but we all understood that she still wanted to be liked and was deeply HURT by Regina. Even whilst hating her, she wanted to at least be THOUGHT OF by Regina. Here, predictably, Janice is effortlessly cool, confident, and has none of the internal darkness the original did. Not to mention that they end up making her a lesbian, which defeats the entire point of the character. Janice looked and acted a certain way not because of her sexuality, but because that's who she was. The reveal that she is, in fact, straight, wasn't an indictment of ""lesbianism"". It simply reminds us not to make assumptions about people.And then there's Renee Rap's Regina George. Oh boy. Rachel McAdams wasn't an iconic antaognist because she was ""mean,"" which is what the writers seem to have thought with this new version. She was smart, calculated, extremely aware of her power and privilege, and unafraid to wield it. Renee walks down the halls and sings about how great she is, but never demonstrates the meanness or the power that Regina is SUPPOSED to have. They softened her character to such an extent that it's hard to believe she'd do most of the terrible things people say she did, to be honest. Rap looks like Regina, but she just doesn't hold a candle.The entire script lacks the meanness and bite of the original, which is core to its identity (it was frequently described as a ""dark comedy""). That script was near perfect, so layered with characters, iconic lines, scenes, dynamics...This script feels toned down, toothless, and lame. When they (frequently) redo scenes in this one, they're always worse. When they rewrite scenes, they're always worse. Even the side characters, such an integral part of making Northshore feel REAL, only show up to say their iconic lines and leave. They also, uniformly, look way better than the original people in their roles.The entire point of that casting was to make Mean Girls FEEL real. That ugly and beautiful people coexist in these spaces and unfortunately, there is a hierarchy there. When everyone looks nice, when everyone seems equally confident, when the film doesn't explore the dynamics of the Plastics or the social hierarchy of high school, when the off colour moments like the racial cliques and Coach Karr and Ms. Norberry being a sad divorced lady (and not happily married, in what feels like fan service for the sake of it), the movie just feels like what a lot of modern remakes feel like: lacking the soul of the original. To sum up how bad the writing is, they have Damien literally say ""only Cady could've wrote that,"" in the (admittedly funny) recreation of the final Burn Book scene. A moment that was implied through glances between characters needs to be explained to the audience here.I could go on and on, but this is long enough. Mean Girls 2024 is good for one thing, reminding you of the excellent original and making you want to watch it again.","
            4/10
            "
"Mean Girls (2024)","AngelHonesty","21 February 2024","A poor imitation of the original. It follows the same plot line and events as the original movie, but does it in a way that it so cringe and painful to watch. The movie felt like a theatrical high school musical play. The musical part did not help the movie in anyway. And some of the songs and scenes were so cringe, like when they pretend to be animals. The movie had a really strong massage about not bullying or putting people down, because we are all just people with feelings at the end of the day...The film moved really quickly because it had to make room for the singing. It was over the top light and airy. The movie feels like it's trying too hard to be funny. If anything the movie felt like a parody, mocking the original film. By the middle of the movie I wanted to walk out, it got so boring and exhausting to watch.The entire film can be summed up in this one message, they push really hard. ""Calling someone ugly is not gonna make you better looking. Calling someone else stupid does not make you any smarter. And as women we have to be able to trust and support each other""","
            3/10
            "
"Mean Girls (2024)","mrashtastic89","14 January 2024","The original 2004 comedy Mean Girls, directed by Mark Waters and starring Lindsay Lohan and Rachel McAdams, is one of my favorite movies of all time. I've seen it too many times to count in many different fashions, so needless to say I was extremely nervous to view this version, because what if it was ruined? And need I say, it was pretty awful. I mean come on, a cringey modernized musical version that nobody asked for? Why?This version took everything that was original and fresh about the original and puts it to shame, instead of being funny it was focused on cramming every social media platform ever, TikTok? Check, Instagram? Check, etc. And frankly it was not fun seeing these iconic characters burst into song at the most random moments ever, 2 songs from the Broadway version weren't even in the thing 💀.Renee Rapp hard carried, but if it weren't for her this would be a 1-star.D-","
            2/10
            "
"Mean Girls (2024)","imseeg","24 January 2024","Wanna experience a headache caused by an avalanche of failed jokes? Try watching this flick for more than 15 minutes.The bad: I tried, I really tried to watch it through, but what's painfully obvious from the very start is that the jokes all fall flat. I just didnt laugh once. What's a comedy without some solid jokes? But then again, comedy is quite personal, perhaps a teenage crowd wont mind the avalanche of lame jokes, that gave me a headache.Not any good then? Tina Fey wrote this stuff. She often gets it right when it comes to comedy, I love some of her other work, but somehow this movie just tanked.","
            3/10
            "
"Mean Girls (2024)","chenp-54708","12 January 2024","I don't see what's the point of doing another Mean Girls.I enjoyed the original Mean Girls. I thought it was a clever take on the teen genre with fun dialogue and energy and the characters are memorable and hilarious. This adaptation is based on the broadway version of Mean Girls with a new cast (including some recurring actors) and musical numbers. But honestly, even with Tina Fey back, I didn't like it.Throughout, many of the production designs, setting and the direction is solid although it does feel cheap like something from a straight to DVD project. Whether it was intentional to create a stage atmosphere, the cheap quality and production is lacking. The costumes, make-up and the lighting is solid and the direction from the filmmakers, while doing their best to handle the project, feels unbalanced regarding its satirical and comedic tones. The best aspects are the performances as the cast members do a pretty good job on performing their roles. Angourie Rice, Reneé Rapp, Auli'i Cravalho, Christopher Briney and the rest of the cast members bring solid energy to their characters and roles. Regarding the singing, maybe it's because since I haven't seen the Broadway version, I found the musical numbers and singing to be not great and unmemorable as some of the songwriting and musical tones were either mid or pretty clunky.The narrative, with some changes, is pretty much the same as the original but while the writing does try to create something fun, unlike the original, the narrative, chemistry, and energy doesn't feel the same as this one felt bland and derived to what made the original one really good. There were a few humor aspects that I did find to be good but otherwise, weak.I understand this is based on the broadway version and it brings some new energy and grounds to the scene but I don't see what is the point of doing a new version for Mean Girls when the original is already iconic. I can see it being a spin and satirical take on the current era of teen generations but I just feel this new edition feels quite unnecessary.","
            4/10
            "
"Mean Girls (2024)","rogerdob","18 January 2024","I was very excited to see this movie, however the moxie was a mess. The film was directed by two inexperienced filmmakers...while it can be a courageous act to take a chance on unknowns, one should be certain if they have talent. All politically incorrect humor was removed, overuse of the ""tik-tok"" effect, terrible casting, songs that really weren't songs, and basic story-telling rules that are taught in Filmmaking 101 were ignored. I gave the movie 45 minutes of my time...I could not suffer through another hour of it! Tina Fey is an extremely talented writer...I don't what went wrong with her involvement...was it just a paycheck for her?","
            1/10
            "
"Mean Girls (2024)","pedroquintaoo","13 January 2024","Despite the potential appeal to newer audiences or those unfamiliar with the 2004 original, the film falls short in various aspects. Avantika Vandanapu's performance as Karen Shetty exudes charisma and humor, marking her as a standout in this undesired remake due to her skillful portrayal of Karen's innocence and enthusiasm and that's the only good thing.The majority of the songs are forgettable, repetitive, and dull, detracting from the narrative's depth and diluting the film's intended message. The voices of the actors, barring a few exceptions, compound the film's challenges, making the lackluster songs even more difficult to endure.Angourie Rice's lack of charisma hampers her portrayal of the protagonist, presenting a humorless and personality-deficient version of Cady Heron. Renee Rapp's take on Regina George adds to the setbacks. Despite her efforts, she comes across as a budget-friendly rendition of the original character-cruel but lacking the comedic or iconic presence.In essence, while Vandanapu's performance stands out, the overall experience of the remake is compromised by questionable musical choices and underwhelming character interpretations.","
            2/10
            "
"Mean Girls (2024)","Imashelbob","6 February 2024","This was the worst movie I've ever seen. The most unnecessary remake to ever be made. I didn't watch the trailer or read reviews before I went to the cinema because Mean Girls is one of my favorite movies of all times, so thought surely it has to be good.But it wasn't. As soon as the opening scene started I realized I'm going to have a hard time finishing the movie. Why was this like watching a 2 hour TikTok? Why did this have to be a musical? Why were all the songs so bad? Why was the acting so bad? Why were the only good parts about this movie, the parts they just copied from the OG? Which makes it even worse, because that means there was absolutely NO reason for this remake. You would only maybe enjoy it if you have not seen the original so the good jokes are original to you. I hated every minute of this movie.","
            1/10
            "
"Mean Girls (2024)","zkonedog","20 January 2024","2004's Mean Girls is an all-time classic film. The Broadway musical adaptation of more recent vintage is a solid and engaging adaption of it. This re-framing of the original and the musical is an odd--and largely ineffective--mishmash of the two that needed to ""pick a lane"".For a very basic overview, Mean Girls is a quasi-remake of the '04 original, featuring new-girl-to-school Cady Herron (Angourie Rice) being shepherded by friends Janice (Auli'i Cravalho) & Damian (Jaquel Spivey) through the high school experience--most notably the Plastics trio of Regina George (Renee Rapp) and her minions Karen (Avantika) & Gretchen (Bebe Wood).I'll start with the one piece of good news here: there are just enough entertaining songs in this flick to keep it from being outright boring. ""Revenge Party"" & ""Sexy"" are absolute bangers, and a few others are quite engaging too. There were a few times when I was ready to metaphorically throw in the towel on Mean Girls, but then another song would unspool and keep me hooked a bit longer.The big problem with this sequel/update/reboot, however, is that it tries to have its cake and eat it too. Had this been a ""Mean Girls for the next generation"" flick, I think it would have succeeded wildly. Unfortunately, despite elements of that approach, it is far too ""shot-for-shot-remake"" of the '04 version to tell much of a new story.Or, writer Tina Fey could have simply done a more straight-up adaptation of the Broadway musical--which is fantastic! That show is filled with heart and the proper homage to the original material without being burdened with repetition of it.Sadly, this version tries to walk the beam between the two and ends up tumbling off. It simultaneously feels like an unnecessary remake of the original and an unnecessary clipping of the musical. Not even some great musical numbers can mitigate that.","
            4/10
            "
"Mean Girls (2024)","vassiliskounelis","21 February 2024","As a fan of the original Mean Girls, I was eager to see how the 2024 remake would reimagine the iconic story. However, this remake fell short of expectations, feeling unnecessary and ultimately disappointing.One of the major missteps was the decision to turn Mean Girls into a musical. While the original film had a perfect blend of humor, wit, and social commentary, the musical adaptation felt forced and out of place. Instead of enhancing the story, the musical elements detracted from the plot and made the entire experience unwatchable.Furthermore, the remake failed to capture the essence of what made the original film so beloved. The characters lacked depth, the humor felt forced, and the plot seemed like a watered-down version of the original. It felt like a shallow attempt to cash in on the success of the original rather than offering anything new or innovative.Overall, Mean Girls (2024) is a disappointing remake that adds nothing of value to the original film. I would not recommend this film, especially to those who have already seen and enjoyed the original. Stick to the original Mean Girls for a truly entertaining and memorable experience.","
            1/10
            "
