"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Divergent","claudio_carvalho","13 September 2014","In a post-apocalyptic dystopia, the world is destroyed and only Chicago has survived with a society divided into five factions: Abnegation (the selfless), Amity (the peaceful), Candor (the honest), Dauntless (the brave), and Erudite (the intelligent). The teenager Beatrice Prior (Shailene Woodley) belongs to the Abnegation that rules the society but she fells outcast and attracted by the Dauntless. When she is sixteen years old, she is submitted to an aptitude test to indicate in which faction she will stay for the rest of her life, but she learns that she has aptitude to be in the Abnegation, Erudite and Dauntless. Further, she learns that she is a Divergent that is destroyed by the government. On the next day, she chooses to join the Dauntless where she changes her name to Tris and is trained by Four (Theo James). They fall in love with each other and soon Tris discovers that the Erudite are planning to take over the power from the Abnegation and become the ruling faction. ""Divergent"" is an adventure movie with a dull and lame story based in a stupid and senseless concept of society. The dystopia does not make any sense and everything is idiotic in the story: the society, the plot, the romance, the way the Dauntless jump from the train, the conclusion. If there is a faction formed for the most intelligent people, it seems to be obvious that they should rule this chaotic society. Tris kills many soldiers but she leaves Jeanine alive in the end. My vote is five.Title (Brazil): ""Divergente"" (""Divergent"")","
            5/10
            "
"Divergent","kevinmorice","11 April 2014","Much like similar teen girl action movie series this one kills itself early on by introducing so many holes that the house of cards that they then try to build has no foundation. Before the credits are even over the story makes less than no sense. Having destroyed civilisation in a world war (ok) Chicago survives. The survivors had enough materials to build a massive wall around the city, 300ft high, but can barely feed themselves. Now they have split into 5 factions (actually 6 because they throw a lot of people out and call them 'factionless') and this somehow magically creates peace. So none of that makes sense, and much like Hunger Games, having built a nonsensical premise we now follow a teenage girl as she turns into a super-soldier capable of jumping of buildings fighting off trained armies single-handed (using a cheap looking paint-ball gun). All the while with her buff and perfectly capable new boyfriend doing as little as possible to help her. Oh and I forgot a quick detour while we ride a pointless zip wire through some buildings for absolutely no reason than to try and spend some of the left over special effects budget.And occasionally Kate Winslet pops up, but is shot from funny angles all the time while they try to make her baby look less visible. Not that they need to as her bad blonde hair is distracting enough.All in a total waste of 2 hours. Just go and watch Twilight or Hunger Games for the same movie done slightly (but not a lot) better.","
            4/10
            "
"Divergent","3xHCCH","20 March 2014","Just finished reading the book ""Divergent"" before the movie opened today. It was a quick easy read. There was obvious inspiration from various other futuristic young adult books I have read, like ""The Giver"", ""Ender's Game"" and the ""Hunger Games"" books. Like the others, the treatment of the story was cold, But its descriptions of the initiation rites were very much more violent. The setting is the walled city of Chicago after a great war. Their society is divided into five distinct Factions based on personality traits: Dauntless (brave), Amity (friendly), Candor (honest), Erudite (intelligent) and Abnegation (selfless). At the age of 16, a child takes an examination to help him choose which one will be his faction for the rest of his life. He may follow the suggestion of the exam results, or he may decide on his own. Those who fail to be accepted into a faction becomes factionless, as they become hopelessly poor and destitute for life. Our heroine Beatrice Prior has been born to the Abnegation faction with their grey clothes and disdain for any form of vanity. However, her examination results are revealed to be inconclusive, so she has to make her own decision. Meanwhile, an uprising is brewing in Erudite against the government run by Abnegation. I had some problem with the book and the way they try to make the Factions distinct from each other, when it is easy to see that overlapping does happen. These traits simply cannot be mutually exclusive from each other. It is also disturbing the way the author describes the Dauntless. Does being brave mean jumping off running trains, having piercings and tattoos, beating each other up mercilessly, or even killing yourself? This may give immature readers the wrong ideas about courage. o - o - o -The film was a perfectly conceived interpretation of the book. In the first few scenes where they show the color-coded clothes distinguishing each faction was quite clear. How director Neil Burger showed us most of the memorable scenes in the book, like the choosing ceremony, the jumping on and off the trains, the fear landscapes of Tris and Four, and the invasion of Abnegation were all very well done.There were some parts which were reinterpreted in the film. Most did not really affect the story-telling, like changing how Tris meets her Mom during Visiting Day, or glossing over a particularly violent episode where Peter stabs a fellow initiate in the eye. There was one big change towards the end about how a climactic surprise rescue transpired. I thought the version in the book was so much more better set-up and executed than the less-dramatic altered version we saw on screen.As I suspected, the tall and beautiful Shailene Woodley is definitely not the small and mousy Tris we imagine while reading the book. However, I thought Shailene gave an excellent portrayal of Tris' character, how she developed from a shy dependent girl to a confident fearless warrior. For people who have not read the books, they will not be aware of any discrepancy at all. Theo James had very good romantic chemistry with Shailene, so his Four never really felt like a threat to Tris, unlike the initial parts in the book. The director gave James a lot of lingering close-ups for the benefit of the teenage fan girls. Ansel Elgort, who played Tommy Ross in ""Carrie"" recently, now plays Tris' brother Caleb. His Caleb is less dynamic than I imagined him in the book. Coincidentally, Elgort has an upcoming movie with Shailene Woodley later this year called ""The Fault in Our Stars"" where they play boyfriend-girlfriend.More up and coming actors play other more minor characters. Zoe Kravitz, who was in ""After Earth"" last year, is not exactly how I envisioned Tris' best friend, but she won me over as the film went along. Miles Teller, who was recently in ""That Awkward Moment"", plays bad boy Peter, whose role in the film is much diminished compared to the book. Jai Courtney, who played Bruce Willis' son in ""A Good Day to Die Hard"" last year, brutally plays Tris' tormentor in the training camp. Among the senior stars, Ashley Judd makes a nice comeback of sorts playing Tris' mother, who had major secrets of her own. Maggie Q played Tris' examiner and tattoo artist Tori with the requisite compassion. Kate Winslet plays the cool and calculating Erudite uprising leader Jeanine with icy perfection.Overall, I thought this film was a practically perfect interpretation of a book that was less than perfect in itself. So, whatever things the film might show us which we might not like, like the slow pace of action progression, and the questionable motives of the characters, are actually because the book told it that way. Fans of the ""Divergent"" books will find this film version faithful. While it cannot compare to the high standard set by the Hunger Games film series in terms of cinematic quality and character casting, ""Divergent"" definitely has its own entertaining appeal going for it. 7/10.","
            7/10
            "
"Divergent","Bruce722","6 April 2014","When reading the book, I had concerns about how well it would translate to film. It's a book without much action and most of the narrative is internalized to the protagonist. Books like that tend to struggle to adapt well and Divergent is no different. The director tried to make changes to the story in order to try and make it work but I honestly think it was futile. It's just not a good story for a 2-hour interpretation. Even at that, I would rather have seen the story stay true and struggle to adapt than change and struggle. All in all, it was set up to fail from the beginning. Shailene Woodley and Theo James gave solid performances and the special effects and action sequences were done well but they made the film watchable and slightly enjoyable at best.","
            5/10
            "
"Divergent","TheAnimalMother","8 September 2014","I have to say that the producers would have to be stupid not to use Burger again as the director. He did such a great job with this one. I thought I was going to see a film that was mostly aimed at teens. However the story alone makes this far superior to most teen oriented films. In fact this didn't feel much like a teen film at all. The fantasy story is a great metaphor for our current society, it's simply a very relevant film. The directing here was spot on. The story as fun as it is, does have a few holes, sure, but they are easy to look over because they are such small holes. The film simply works as a commentary piece on political philosophy, and as an entertaining action film laced with some romantic tension. In my view this film was far, far superior to the very teen oriented and very one dimensional Hunger Games, and it's certainly more unique as well. Woodley is impressive here, clearly showing the ability to play a very layered and complex character.8/10","
            8/10
            "
"Divergent","Logan-22","24 March 2014","I read the trilogy (which was nothing special and kept getting more annoying each sequel), but at least the first book had some kind of * something * to it. The movie sucks. It is boring and there is very little action (and what little there was is over too fast and not very thrilling). The violence is sanitized with the only real blood being when Four nicks Tris's ear with a knife toss. The two most horrifying scenes in the book are not even included: the attempted rape of Tris by Peter's gang and the transfer girl who jumps from the train and misses the Dauntless rooftop to splat on the street below. Tris doesn't have a ""save the cat"" moment early on and provides no real reason to ever like her.The story takes too long to get going, then the training goes on forever, only to have the ending feel rushed. Not once did I feel anyone's life was in danger. Not once did I perceive any credible romantic chemistry between Tris and Four. Not once did I laugh, cry, or feel anything but bored. And it goes on for two and a half hours! Ugh. Sure, the production values are high, but who cares if I can't relate to any of the characters or the story? It's just a dumb waste of time. I didn't hate it (only because I scored a free ticket), but have no desire to watch the sequels.However, I'm glad Divergent made a bunch of money opening weekend to pave the way for other YA books to be adapted into films, but they need to do a better job. The reason all the recent YA adaptations tanked at the box office is because they sucked (Vampire Academy, Beautiful Creatures, City of Bones). The only decent one I can remember was Warm Bodies.","
            3/10
            "
"Divergent","tandrei2001","27 March 2014","I went to see this movie misled by the high rating on IMDb. Unfortunately it looks like Hollywood makes movies for people with short memory. I admit I haven't read the source book, but I guess I wouldn't, judging by what came out of it. I hereby venture myself in saying that the book is also a bad SciFi novel. It has way to obvious imports from well known themes that have been exploited to the brim by today (like the ""perfect"" society that sacrifices diversity for peace, the ""different"" guy that stands-up to the system, the genuine technology that controls individuals (poorly described, by the way), the fear confrontation ad the list could go on and on. It is not essentially bad to bring these themes in a movie, but I see nothing new, original here. So... if you have seen Equilibrum and the Hunger Games then you know it all. Movies today are just mobile phones... keep reproducing ""features"" from the competition, while it is supposed to be an art. Another thing can't stand in movies in general is the poor IT incursions. I am talking about the scene in which Jeanine is asked to turn off the ""control system"" which consists of a huge touch screen in which she just hits some ""cancel"" button. That was really pathetic... Anyone could have done that right? Another thing that I can't stand, is the cheap psychology things in these movies. They are all based on some sort of psychoanalysis which is long time deprecated in therapy. But it is somehow considered to be ""cool"" and ""trendy"" by producers to insert these kind of flavour into the movies to make it more profound. Or are they just as stupid and ignorants as the target viewers? Anyhow... to me, this is bad taste in art. If you want to really go for it, you must do way better that that and if you can't, then at least make it more interesting. It is also true that movies like ""Inception"" don't occur every month, but once they do... they set a trend and everybody will just take a byte of it. Don't get me wrong, it is a ""watchable"" movie, perhaps a little too long for its story, which, by the way, is very predictable and full of clichés. I read some users claiming it resembles ""The Hunger Games"" and so it is, especially with the modest ending that awkwardly announces a sequel. I could predict how the story developed and ended after the first 15 minutes and that's what makes this movie mediocre. Script is mediocre, but at least it does not abounds in stereotypes so it's bearable. What can be said about acting... there is no acting in this kind of movies, you only need to be young and good looking, be able to learn your part and you're done. It's not that the actors are bad, but the movie itself is not based on any acting mastery and just because of that, the girl gets a plus for making something out of it. I am curious if the ratings will stay as high as now in time.","
            5/10
            "
"Divergent","ironhorse_iv","11 September 2014","Divergent was indeed made to capitalize on the popularity of the Hunger Games book & film series by author Suzanne Collin. Some people might say, it's a total rip-off, but in my opinion, author Veronica Roth was influence by the books and inspiration to make her own. It's no differ, than Suzanne Collins taking elements from previous novels like George Orwell's 1984 and Koushun Takami's Battle Royale. For people to say, Divergent is a total rip-off of Hunger Games is an understatement. If anything, the movie is more influence by novel works like Jacqueline Carey's Kushiel's Dart, Orson Scott Card's Ender Games, and J. K. Rowling's Harry Potter. Even the movie takes bit of its story from films like 2010's Inception by Christopher Nolan & Mark Water's 2004's Mean Girls. Other influences come from the Meyers-Briggs personality tests, Milgram experiment, and attitude toward divergent thinking (ATDT). This is a Psychology major fan film. With all this influences, Divergent create its own identify. The movie starts out in a futuristic dystopian Chicago, society is divided into five factions: Abnegation (the selfless), Amity (the peaceful), Candor (the honest), Dauntless (the brave), and Erudite (the intelligent). Members join a faction based on their preference but are initially given a suggestion by an aptitude test. Beatrice Prior (Shailene Woodley) has grown up in Abnegation, the faction that runs the government, yet has always been fascinated by Dauntless. Every year, 16-year-olds undergo a serum-based aptitude test that indicates the faction into which they would best fit, but something went wrong, with Beatrice's test; as she shows that she has more than one personality trait, meaning that she's a Divergent. Since Divergents can think independently and the government therefore cannot control them, they're considered threats to the existing social order. The premise can be too far-fetched, improbable and illogical. You have to suspense your disbelief on this premise, as it's hard to believe that people can only have one personality trait. Since, it's a Sci-fiction film, anything is really possible. Personally, for a movie that supposedly has a lot of one-dimensional personality characters, these characters really do have a lot of divergent type traits. The pacing is a bit slow, as most of the time, the film focus on her time with the Dauntless. The training kinda did go a little too long. The plot could be a bit confusing, with all the tests, they go through and seeing how some test matter and some don't. The whole exposition somewhat got lost between the transfer from book to screen, as it wasn't that clear to the audience. Seeing how this film is the first one of the 3 books with the sequels Insurgent and Allegiant on their way. This movie will leave you with more questions, than answers, if you haven't read the books. Even if you readt the books, there are some minor different from the book to the film. The dream scenes were a bit longer in the book. Some characters such as Peter (Miles Teller)'s level of bullying is reduced to verbal comments as in the book, he's more engage in sexual abusing, and physical provoke her. Another big missing piece from the book is one of the character getting stabbed in the eye. Hopefully, they can fit that in, the next movies. Nothing too big was change in this film, so it's a fairly well adapted movie. The acting is pretty good for the most part. Shailene Woodley nearly quit acting in 2011, so it's good that she didn't, as she was great as the main lead. Theo James as her love-interest was pretty cool to have. The only problem is that Theo James acting really doesn't stand out. If anything, he kinda could be mistaken for James Franco. The supporting cast made out of Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Maggie Q and Kate Winslet were all great in their own roles. The movie could need some more minority characters. I don't know if it's part of the story, with the white washing due to its being a post-apocalypse or Hollywood just being ethnic bias. After all, the United States seems to be home to large groups of immigrants of many races and ethnicities and they rarely depicted in films like this. Even Hunger Games had more ethnic characters than this. It really doesn't look like people from Chicago. I also would like not everybody looking like a model. It kinda hurts the realistic tone that the film is possible to represent. The movie was shot beautifully by director Nick Berger. The mirror scene alone had some really good symbolism. The music choice was pretty good. My favorite had to be Run Boy Run – Woodkid. I wouldn't say this movie is a chick flick or only for young adults as there is enough material for everybody to relate to. Overall: It's a surprisingly good YA sci-fi action drama thriller adaptation. I'll be looking forward to the sequels.","
            7/10
            "
"Divergent","Thanos_Alfie","8 February 2016","""Divergent"" is the first Sci-Fi movie of this trilogy and in this movie we watch a world that is divided into factions and each person has to be a part of one. Unfortunately Tris cannot be a part to any of these factions because she is a divergent. Divergents are considered as the most important and dangerous people and have to be eliminated but why?I liked this movie because it has a different kind of plot from other Sci-Fi movies and that's something that made this movie interesting at first. The direction which made by Neil Burger was very good with many good action scenes. Also the interpretation of Shailene Woodley who played as Tris was very good. An equally good interpretation made by Theo James who played as Four.Finally I have to admit that I did not expect much from ""Divergent"" but it was a very nice surprise. This movie made a very good start for this trilogy and I hope to continue like this and even better.","
            7/10
            "
"Divergent","jackmeat","21 August 2014","Settling in to this film, I expected to see Hunger Games again. Set in a near-future Chicago, what we see is another take on the dystopian society. The central plot here is that growing up in this walled in world, everyone must fit into one of five classes. But of course, the question here is what if you don't fit into the nicely packaged definition of a single class, then you must be Divergent, or in this movie, a danger to the perfect society. When our main character, Tris (played very well by Shailene Woodley)finds out she is Divergent she must hide this secret and discover the reasons why it is such a secret and why society fears Divergents. I'll leave all of that for you to watch unfold in the various physical and psychological training exercises that are portrayed on screen. In a nutshell, the world painted is similar to that of Equilibrium but with much less action. This is not a bad thing, since this allows the cinematographer to reveal a very wonderfully crafted view of this world. The pacing of this movie moves along nicely as we plod through Tris trying to fit in as a part of the Dauntless clan. Friendships are made, lost, and so on as expected. Even more so is the romantic involvement with the mysterious Four (or 4) played by Theo James (which I believe over acted his part entirely too much). So the mystery of why the government wants to kill all Divergents must be unraveled and this leads to the majority of the story. I was happy with just sitting back and enjoying the view during many of the scenes that were almost breathtaking. Not reading the book, I hope that the movie did well to portray the story but I also know it is a trilogy so they couldn't go from start to finish all at once. Stand alone I believe the movie was quite well made and under-appreciated, swept under the rug by the highly successful Hunger Games series. You will be hard pressed not to see the similarities between them. I am looking forward to seeing what else this world has in store for us and would recommend that moviegoers join me to find out. Will you see silly acted parts, and scenes that are just there to draw you in with nice landscapes and perfectly choreographed music, YES. But why would anyone complain about something like that? I know I wouldn't. Enjoy this film, you won't regret the time you spent on it.","
            7/10
            "
